energy,dos
-54.0,0.0
-53.994,0.0
-53.988,0.0
-53.982,0.0
-53.976,0.0
-53.97,0.0
-53.964,0.0
-53.958,0.0
-53.952,0.0
-53.946,0.0
-53.94,0.0
-53.934,0.0
-53.928,0.0
-53.922,0.0
-53.916,0.0
-53.91,0.0
-53.904,0.0
-53.898,0.0
-53.892,0.0
-53.886,0.0
-53.88,0.0
-53.874,0.0
-53.868,0.0
-53.862,0.0
-53.856,0.0
-53.85,0.0
-53.844,0.0
-53.838,0.0
-53.832,0.0
-53.826,0.0
-53.82,0.0
-53.814,0.0
-53.808,0.0
-53.802,0.0
-53.796,0.0
-53.79,0.0
-53.784,0.0
-53.778,0.0
-53.772,0.0
-53.766,0.0
-53.76,0.0
-53.754,0.0
-53.748,0.0
-53.742,0.0
-53.736,0.0
-53.73,0.0
-53.724,0.0
-53.718,0.0
-53.712,0.0
-53.706,0.0
-53.7,0.0
-53.694,0.0
-53.688,0.0
-53.682,0.0
-53.676,0.0
-53.67,0.0
-53.664,0.0
-53.658,0.0
-53.652,0.0
-53.646,0.0
-53.64,0.0
-53.634,1.4542779741294246e+16
-53.628,7.325212149482409e+18
-53.622,1.8209871005938391e+21
-53.616,2.239006799547893e+23
-53.61,1.3654712140512028e+25
-53.604,4.1479036222393656e+26
-53.598,6.304382927573153e+27
-53.592,4.81529987979691e+28
-53.586,1.856868619817363e+29
-53.58,3.625827517537093e+29
-53.574,3.5953282261970976e+29
-53.568,1.8084285688656058e+29
-53.562,4.6825382586698725e+28
-53.556,1.7346920468612643e+28
-53.55,9.449398087515026e+28
-53.544,4.077934659753494e+29
-53.538,9.334577225999748e+29
-53.532,1.1302678555410036e+30
-53.526,7.22115574373419e+29
-53.52,2.4202084716266888e+29
-53.514,4.2196666606864135e+28
-53.508,3.7926765819264786e+27
-53.502,1.7415095355137338e+26
-53.496,4.0492294443746746e+24
-53.49,4.732772385582806e+22
-53.484,2.7646710561725186e+20
-53.478,8.028489926263478e+17
-53.472,1127576741599239.2
-53.466,0.0
-53.46,0.0
-53.454,0.0
-53.448,0.0
-53.442,0.0
-53.436,0.0
-53.43,0.0
-53.424,0.0
-53.418,0.0
-53.412,0.0
-53.406,0.0
-53.4,0.0
-53.394,0.0
-53.388,0.0
-53.382,0.0
-53.376,0.0
-53.37,0.0
-53.364,0.0
-53.358,0.0
-53.352,0.0
-53.346,0.0
-53.34,0.0
-53.334,0.0
-53.328,0.0
-53.322,0.0
-53.316,0.0
-53.31,0.0
-53.304,0.0
-53.298,0.0
-53.292,0.0
-53.286,0.0
-53.28,0.0
-53.274,0.0
-53.268,0.0
-53.262,0.0
-53.256,0.0
-53.25,0.0
-53.244,0.0
-53.238,0.0
-53.232,0.0
-53.226,0.0
-53.22,0.0
-53.214,0.0
-53.208,0.0
-53.202,0.0
-53.196,0.0
-53.19,0.0
-53.184,0.0
-53.178,0.0
-53.172,0.0
-53.166,0.0
-53.16,0.0
-53.154,0.0
-53.148,0.0
-53.142,0.0
-53.136,0.0
-53.13,0.0
-53.124,0.0
-53.118,0.0
-53.112,0.0
-53.106,0.0
-53.1,0.0
-53.094,0.0
-53.088,0.0
-53.082,0.0
-53.076,0.0
-53.07,0.0
-53.064,0.0
-53.058,0.0
-53.052,0.0
-53.046,0.0
-53.04,0.0
-53.034,0.0
-53.028,0.0
-53.022,0.0
-53.016,0.0
-53.01,0.0
-53.004,0.0
-52.998,0.0
-52.992,0.0
-52.986,0.0
-52.98,0.0
-52.974,0.0
-52.968,0.0
-52.962,0.0
-52.956,0.0
-52.95,0.0
-52.944,0.0
-52.938,0.0
-52.932,0.0
-52.926,0.0
-52.92,0.0
-52.914,0.0
-52.908,0.0
-52.902,0.0
-52.896,0.0
-52.89,0.0
-52.884,0.0
-52.878,0.0
-52.872,0.0
-52.866,0.0
-52.86,0.0
-52.854,0.0
-52.848,0.0
-52.842,0.0
-52.836,0.0
-52.83,0.0
-52.824,0.0
-52.818,0.0
-52.812,0.0
-52.806,0.0
-52.8,0.0
